2021-08-19/19:36:35	 	Error while creating table: <Error from server: code=2000 [Syntax error in CQL query] message="line 1:26 no viable alternative at input 'values' (INSERT INTO [Good_Raw_Data] values...)"> 
2021-08-20/01:12:46	 	Error while Inserting table: name 'session' is not defined 
2021-08-20/01:12:46	 	File Moved Successfully file_Training_batchs.csv
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:14	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:15	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:16	 	 file_Training_batchs.csv: File loaded successfully!!
