2021-08-19/19:11:43	 	Error while creating table: 'Session' object has no attribute 'close' 
2021-08-19/19:12:28	 	Error while creating table: 'Session' object has no attribute 'close' 
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:50	 	DB connection closed!!
2021-08-19/19:14:50	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:14:51	 	Tables created successfully!!
2021-08-19/19:14:51	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:58	 	Tables created successfully!!
2021-08-19/19:34:58	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
2021-08-19/19:34:59	 	Tables created successfully!!
2021-08-19/19:34:59	 	DB connection closed!!
